Model,HyperParameters,Scaler,Test Size,Outlier Handling,Fit Time(s),Validation RMSLE,Test RMSLE
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",StandardScaler,0.1,Replace,252.9483025074005,0.1501717078899324,0.1469016912694202
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",MinMaxScaler,0.1,Replace,327.04369592666626,0.15016904528764727,0.1469325075890512
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",None,0.1,Replace,248.76891422271729,0.1501815485435592,0.14694834127542408
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",RobustScaler,0.1,Replace,312.76313924789434,0.15021275177625001,0.14696147887353056
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.65, 'alpha': 0.2}",RobustScaler,0.3,Replace,6.948171138763428,0.15110082086219434,0.1486138459123365
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",RobustScaler,0.3,Replace,241.75930094718933,0.15650915247669678,0.1490333816877871
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",None,0.3,Replace,243.60380458831787,0.15642069484582133,0.14909856357671913
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",MinMaxScaler,0.3,Replace,249.2994554042816,0.15650874618532407,0.1491062318613352
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",StandardScaler,0.3,Replace,251.44938516616818,0.15656485341903914,0.14910776652386365
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",RobustScaler,0.2,YeoJonson,237.36015367507926,0.15130249017227107,0.14939167195352684
